method,method_key,private_exact,privacy_score,utility_score,pus
Pre leakage model,pre_leakage_model,0.9386666666666666,0.06133333333333335,0.9765873015873016,0.05989735449735451
ROME direct-only,rome_direct_only,0.5786666666666667,0.42133333333333334,0.5591269841269841,0.235578835978836
MEMIT direct-only,memit_direct_only,0.814,0.18600000000000005,0.8472222222222222,0.15758333333333338
PACE target_only,pace_target_only,0.0,1.0,0.0031746031746031746,0.0031746031746031746
PACE max1_per_case,pace_max1_per_case,0.0003333333333333333,0.9996666666666667,0.00992063492063492,0.009917328042328042
PACE max2_per_person,pace_max2_per_person,0.024333333333333332,0.9756666666666667,0.09841269841269841,0.09601798941798942
