method_stage,num_requests,num_people,num_cases,attack_distribution,failure_source_distribution,unique_target_new,original_rome_people_overlap
rome_direct_initial,40,20,40,"{""unknown"": 40}","{""unknown"": 40}",1,20
pace_max2_round2,198,100,109,"{""completion"": 17, ""context"": 9, ""direct"": 151, ""paraphrase"": 16, ""roleplay"": 5}","{""{'target_exact_leak': False, 'target_regex_leak': False, 'sensitive_pattern': True, 'safe_refusal': False}"": 56, ""{'target_exact_leak': True, 'target_regex_leak': False, 'sensitive_pattern': True, 'safe_refusal': True}"": 5, ""{'target_exact_leak': True, 'target_regex_leak': True, 'sensitive_pattern': True, 'safe_refusal': False}"": 60, ""{'target_exact_leak': True, 'target_regex_leak': True, 'sensitive_pattern': True, 'safe_refusal': True}"": 77}",1,20
pace_max2_combined,238,100,124,"{""completion"": 17, ""context"": 9, ""direct"": 151, ""paraphrase"": 16, ""roleplay"": 5, ""unknown"": 40}","{""unknown"": 40, ""{'target_exact_leak': False, 'target_regex_leak': False, 'sensitive_pattern': True, 'safe_refusal': False}"": 56, ""{'target_exact_leak': True, 'target_regex_leak': False, 'sensitive_pattern': True, 'safe_refusal': True}"": 5, ""{'target_exact_leak': True, 'target_regex_leak': True, 'sensitive_pattern': True, 'safe_refusal': False}"": 60, ""{'target_exact_leak': True, 'target_regex_leak': True, 'sensitive_pattern': True, 'safe_refusal': True}"": 77}",1,20
cape_v0_round2,60,60,60,"{""completion"": 60}","{""sensitive_pattern"": 1, ""target_exact_or_value_contains"": 59}",1,2
cape_v0_combined,100,78,98,"{""completion"": 60, ""unknown"": 40}","{""sensitive_pattern"": 1, ""target_exact_or_value_contains"": 59, ""unknown"": 40}",1,20
