method,method_key,private_exact,private_regex,private_sensitive,private_refusal,public_exact,public_contains,same_subject_public,same_relation_other_subject,general_knowledge,public_refusal_rate,same_subject_public_refusal_rate,same_relation_public_refusal_rate,general_refusal_rate
Pre leakage model,pre_leakage_model,0.9386666666666666,0.665,0.9926666666666667,0.0,0.0,0.9765873015873016,0.9833333333333333,0.9675,1.0,0.0,0.0,0.0,0.0
ROME direct-only,rome_direct_only,0.5786666666666667,0.4766666666666667,0.8563333333333333,0.5973333333333334,0.0,0.5591269841269841,0.5475,0.5366666666666666,0.9,0.46785714285714286,0.4075,0.5741666666666667,0.008333333333333333
MEMIT direct-only,memit_direct_only,0.814,0.5993333333333334,0.8853333333333333,0.195,0.0,0.8472222222222222,0.8483333333333334,0.8308333333333333,1.0,0.1484126984126984,0.14916666666666667,0.1625,0.0
PACE target_only,pace_target_only,0.0,0.0,0.016666666666666666,0.993,0.0,0.0031746031746031746,0.0025,0.0016666666666666668,0.025,0.9674603174603175,0.9958333333333333,0.9941666666666666,0.4166666666666667
PACE max1_per_case,pace_max1_per_case,0.0003333333333333333,0.0003333333333333333,0.02,0.987,0.0,0.00992063492063492,0.01,0.006666666666666667,0.041666666666666664,0.9611111111111111,0.9566666666666667,1.0,0.6166666666666667
PACE max2_per_person,pace_max2_per_person,0.024333333333333332,0.015,0.074,0.9346666666666666,0.0,0.09841269841269841,0.0975,0.0675,0.4166666666666667,0.8115079365079365,0.795,0.8925,0.16666666666666666
