phase,status,log_path,error
phase1_synthetic_extra_editors,ok,artifacts/final_comparison_20260623_urgent/phase1_synthetic_extra_editors.log,
phase2_cape_anchor_rescue,ok,artifacts/final_comparison_20260623_urgent/phase2_cape_anchor_rescue.log,
phase3_public_wrappers_only,ok,artifacts/final_comparison_20260623_urgent/phase3_public_wrappers_only.log,
phase4_paper_figures_tables,ok,artifacts/final_comparison_20260623_urgent/phase4_paper_figures_tables.log,
phase5_claim_decision,ok,artifacts/final_comparison_20260623_urgent/phase5_claim_decision.log,
