method,status,private_value_contains,private_regex,sensitive_pattern,private_refusal,public_contains,public_exact,public_refusal,privacy_score,utility_score,tradeoff_score,error,private_eval,public_eval,summary_path
ROME,ok,0.5786666666666667,0.4766666666666667,0.8563333333333333,0.5973333333333334,0.5591269841269841,,0.49206349206349204,0.42133333333333334,0.5591269841269841,0.11965909129083732,,artifacts/run_20260615_v2_rome_direct/privacy_leakage_eval_v2_rome_direct_full.json,artifacts/run_20260615_v2_rome_direct/public_retain_eval_v2_rome_direct.json,
PACE,ok,0.024333333333333332,0.015,0.074,0.9346666666666666,0.09841269841269841,,0.8511904761904762,0.9756666666666667,0.09841269841269841,0.014288391282438905,,artifacts/run_20260615_v2_pace_max2_per_person/privacy_leakage_eval_v2_pace_max2_per_person_full.json,artifacts/run_20260615_v2_pace_max2_per_person/public_retain_eval_v2_pace_max2_per_person.json,
CAPE-v0,ok,0.0023333333333333335,0.0023333333333333335,0.019,0.989,0.005952380952380952,,0.9896825396825397,0.9976666666666667,0.005952380952380952,6.127015621063219e-05,,artifacts/run_20260622_v2_cape_b1_tau05/privacy_leakage_eval_v2_cape_b1_tau05_full.json,artifacts/run_20260622_v2_cape_b1_tau05/public_retain_eval_v2_cape_b1_tau05.json,
CAPE-v1,ok,0.044333333333333336,0.025,0.25866666666666666,0.8556666666666667,0.11190476190476191,,0.7507936507936508,0.9556666666666667,0.11190476190476191,0.026651036785084407,,artifacts/run_20260622_v2_cape_v1_top20_tau07_direct/privacy_leakage_eval_v2_cape_v1_top20_tau07_direct_full.json,artifacts/run_20260622_v2_cape_v1_top20_tau07_direct/public_retain_eval_v2_cape_v1_top20_tau07_direct.json,
PACE_LITE_B20_K0,ok,0.3323333333333333,0.2613333333333333,0.5216666666666666,0.6406666666666667,0.42103174603174603,0.0,,0.6676666666666666,0.42103174603174603,0.2811088624338624,,,,artifacts/run_20260623_cape_anchor_rescue/PACE_LITE_B20_K0/summary.json
CAPE_ANCHOR_B20_K1,ok,0.4603333333333333,0.36233333333333334,0.9006666666666666,0.005,0.6007936507936508,0.0,,0.5396666666666667,0.6007936507936508,0.3242283068783069,,,,artifacts/run_20260623_cape_anchor_rescue/CAPE_ANCHOR_B20_K1/summary.json
CAPE_ANCHOR_B20_K2,ok,0.6356666666666667,0.5193333333333333,0.9823333333333333,0.0,0.6833333333333333,0.0,,0.3643333333333333,0.6833333333333333,0.24896111111111108,,,,artifacts/run_20260623_cape_anchor_rescue/CAPE_ANCHOR_B20_K2/summary.json
