method,method_key,public_refusal_count,public_refusal_denominator,public_refusal_rate,same_subject_public_refusal_rate,same_relation_other_subject_refusal_rate,general_knowledge_refusal_rate,public_contains
Pre leakage model,pre_leakage_model,0,2520,0.0,0.0,0.0,0.0,0.9765873015873016
ROME direct-only,rome_direct_only,1179,2520,0.46785714285714286,0.4075,0.5741666666666667,0.008333333333333333,0.5591269841269841
MEMIT direct-only,memit_direct_only,374,2520,0.1484126984126984,0.14916666666666667,0.1625,0.0,0.8472222222222222
PACE target_only,pace_target_only,2438,2520,0.9674603174603175,0.9958333333333333,0.9941666666666666,0.4166666666666667,0.0031746031746031746
PACE max1_per_case,pace_max1_per_case,2422,2520,0.9611111111111111,0.9566666666666667,1.0,0.6166666666666667,0.00992063492063492
PACE max2_per_person,pace_max2_per_person,2045,2520,0.8115079365079365,0.795,0.8925,0.16666666666666666,0.09841269841269841
